Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilyName,Kinship,Deck,Alone,AgeGroup
1,3,0,14.0,1,0,186,5.62,0,1,434,1,8,0.0,3
0,3,0,40.0,1,0,507,9.48,2,3,5,1,8,0.0,0
0,2,0,27.0,1,0,53,10.5,2,3,617,1,8,0.0,0
0,3,1,29.0,0,0,391,7.9,0,2,318,0,8,1.0,0
1,2,0,3.0,1,2,634,13.86,0,1,327,3,8,0.0,1
1,3,0,19.0,0,0,282,7.88,1,1,153,0,8,1.0,0
0,3,1,29.0,0,0,617,8.05,2,2,516,0,8,1.0,0
0,3,1,29.0,1,0,462,15.5,1,2,338,1,8,0.0,0
1,3,0,29.0,0,0,76,7.75,1,1,447,0,8,1.0,0
0,3,1,29.0,2,0,190,21.68,0,2,536,2,8,0.0,0
0,3,0,18.0,1,0,377,8.9,2,3,22,1,8,0.0,0
0,3,1,7.0,4,1,249,6.61,2,0,464,5,8,0.0,1
0,3,1,21.0,0,0,522,7.8,2,2,439,0,8,1.0,0
1,1,0,49.0,1,0,587,25.58,0,3,239,1,3,0.0,0
1,2,0,29.0,1,0,239,26.0,2,3,182,1,8,0.0,0
0,1,1,65.0,0,1,29,61.98,0,2,459,1,1,0.0,2
1,1,1,29.0,0,0,94,35.5,2,2,651,0,2,1.0,0
1,2,0,21.0,0,0,555,10.5,2,1,525,0,8,1.0,0
0,3,1,28.5,0,0,215,7.23,0,2,440,0,8,1.0,0
1,2,0,5.0,1,2,561,9.25,2,1,638,3,8,0.0,1
0,3,1,11.0,5,2,566,7.82,2,0,220,7,8,0.0,1
0,3,1,22.0,0,0,197,7.23,0,2,557,0,8,1.0,0
1,1,0,38.0,0,0,32,40.0,3,1,275,0,1,1.0,0
0,1,1,45.0,1,0,457,41.74,2,2,241,1,2,0.0,0
0,3,1,4.0,3,2,337,4.65,2,0,563,5,8,0.0,1
0,1,1,29.0,0,0,601,27.72,0,2,583,0,8,1.0,0
1,3,1,29.0,1,1,189,7.62,0,0,414,2,8,0.0,0
1,2,0,29.0,0,0,553,10.5,2,3,441,0,5,1.0,0
0,3,1,19.0,0,0,623,8.16,2,2,132,0,8,1.0,0
1,3,0,17.0,4,2,248,7.92,2,1,16,6,8,0.0,3
0,3,1,26.0,2,0,270,8.66,2,2,312,2,8,0.0,0
0,2,1,32.0,0,0,557,10.5,2,2,285,0,8,1.0,0
0,3,0,16.0,5,2,566,7.82,2,1,220,7,8,0.0,3
0,2,1,21.0,0,0,621,14.7,2,2,268,0,8,1.0,0
0,3,1,26.0,1,0,204,14.45,0,2,112,1,8,0.0,0
1,3,1,32.0,0,0,80,8.07,2,2,58,0,8,1.0,0
0,3,1,25.0,0,0,347,7.65,2,2,404,0,5,1.0,0
0,3,1,29.0,0,0,355,7.9,2,2,578,0,8,1.0,0
0,3,1,29.0,0,0,473,8.05,2,2,416,0,8,1.0,0
1,2,1,0.83,0,2,158,14.5,2,0,88,2,8,0.0,1
1,3,0,30.0,0,0,432,6.24,2,1,162,0,8,1.0,0
0,3,1,22.0,0,0,304,9.0,2,2,628,0,8,1.0,0
1,3,1,29.0,0,0,311,9.5,2,2,546,0,8,1.0,0
1,3,0,29.0,0,0,280,7.79,1,1,381,0,8,1.0,0
0,1,1,28.0,0,0,25,47.1,2,2,99,0,8,1.0,0
1,2,0,17.0,0,0,637,10.5,2,1,276,0,8,1.0,3
1,3,0,33.0,3,0,247,7.92,2,3,31,3,8,0.0,0
0,3,1,16.0,1,3,676,8.59,2,2,187,4,8,0.0,3
0,3,1,29.0,0,0,652,8.05,2,2,567,0,8,1.0,0
1,1,0,23.0,3,2,95,65.75,2,1,189,5,2,0.0,0
0,3,1,24.0,0,0,297,8.05,2,2,102,0,8,1.0,0
0,3,1,29.0,0,0,298,8.05,2,2,110,0,8,1.0,0
0,3,1,20.0,0,0,341,7.85,2,2,17,0,8,1.0,0
0,1,1,46.0,1,0,678,61.18,2,2,103,1,4,0.0,0
0,3,1,26.0,1,2,548,10.29,2,2,150,3,8,0.0,0
0,3,1,59.0,0,0,428,7.25,2,2,131,0,8,1.0,0
0,3,1,29.0,0,0,475,8.05,2,2,549,0,8,1.0,0
0,1,1,71.0,0,0,607,34.65,0,2,217,0,0,1.0,2
1,1,1,23.0,0,1,612,63.36,0,2,224,1,3,0.0,0
1,2,0,34.0,0,1,117,11.5,2,3,158,1,8,0.0,0
0,2,1,34.0,1,0,150,13.0,2,2,299,1,8,0.0,0
0,3,0,28.0,0,0,384,7.9,2,1,484,0,8,1.0,0
0,3,1,29.0,0,0,361,7.9,2,2,485,0,8,1.0,0
0,1,1,21.0,0,1,417,38.64,2,2,640,1,3,0.0,0
0,3,1,33.0,0,0,505,8.65,2,2,291,0,8,1.0,0
0,3,1,37.0,2,0,245,7.92,2,2,227,2,8,0.0,0
0,3,1,28.0,0,0,354,7.9,2,2,400,0,8,1.0,0
1,3,0,21.0,0,0,296,7.65,2,1,534,0,8,1.0,0
1,3,1,29.0,0,0,254,7.78,2,2,413,0,8,1.0,0
0,3,1,38.0,0,0,388,7.9,2,2,501,0,8,1.0,0
1,3,0,29.0,1,0,469,8.05,1,1,409,1,8,0.0,0
0,1,1,47.0,0,0,2,26.0,2,2,494,0,2,1.0,0
0,3,0,14.5,1,0,193,7.23,0,1,659,1,8,0.0,3
0,3,1,22.0,0,0,274,8.05,2,2,42,0,8,1.0,0
0,3,0,20.0,1,0,491,9.82,2,1,296,1,8,0.0,0
0,3,0,17.0,0,0,176,7.23,0,1,27,0,8,1.0,3
0,3,1,21.0,0,0,666,7.92,2,2,475,0,8,1.0,0
0,3,1,70.5,0,0,460,7.75,1,2,126,0,8,1.0,2
0,2,1,29.0,1,0,53,10.5,2,2,617,1,8,0.0,0
0,1,1,24.0,0,1,585,123.76,0,2,45,1,1,0.0,0
0,3,0,2.0,4,2,333,4.47,2,1,16,6,8,0.0,1
0,2,1,21.0,2,0,621,14.7,2,2,257,2,8,0.0,0
0,3,1,29.0,0,0,540,8.05,2,2,408,0,8,1.0,0
0,2,1,32.5,1,0,132,15.04,0,2,426,1,8,0.0,0
1,2,0,32.5,0,0,219,13.0,2,1,634,0,4,1.0,0
0,1,1,54.0,0,1,417,38.64,2,2,640,1,3,0.0,0
1,3,1,12.0,1,0,186,5.62,0,0,434,1,8,0.0,1
0,3,1,29.0,0,0,463,7.75,1,2,387,0,8,1.0,0
1,3,1,24.0,0,0,541,7.14,2,2,363,0,8,1.0,0
1,3,0,29.0,1,1,196,11.18,0,1,482,2,5,0.0,0
0,3,1,45.0,0,0,318,6.98,2,2,172,0,8,1.0,0
0,3,1,33.0,0,0,380,7.9,0,2,164,0,8,1.0,0
0,3,1,20.0,0,0,640,7.05,2,2,116,0,8,1.0,0
0,3,0,47.0,1,0,537,14.5,2,3,514,1,8,0.0,0
1,2,0,29.0,1,0,111,26.0,2,3,636,1,8,0.0,0
0,2,1,25.0,0,0,552,13.0,2,2,572,0,8,1.0,0
0,2,1,23.0,0,0,630,15.05,0,2,506,0,8,1.0,0
1,1,0,19.0,0,2,55,26.28,2,1,431,2,3,0.0,0
0,1,1,37.0,1,0,49,26.55,2,2,198,1,2,0.0,0
0,3,1,16.0,0,0,504,4.61,2,2,457,0,8,1.0,3
0,1,1,24.0,0,0,592,39.6,0,2,208,0,1,1.0,0
0,3,0,29.0,0,2,203,7.62,0,3,67,2,8,0.0,0
1,3,0,22.0,0,0,332,7.75,2,1,442,0,8,1.0,0
1,3,0,24.0,1,0,668,7.92,2,3,230,1,8,0.0,0
0,3,1,19.0,0,0,438,6.75,1,2,78,0,8,1.0,0
0,2,1,18.0,0,0,118,11.5,2,2,18,0,8,1.0,0
0,2,1,19.0,1,1,558,18.38,2,2,432,2,8,0.0,0
1,3,1,27.0,0,0,405,7.8,2,2,16,0,8,1.0,0
0,3,0,9.0,2,2,676,8.59,2,1,187,4,8,0.0,1
0,2,1,36.5,0,2,113,8.67,2,2,428,2,5,0.0,0
0,2,1,42.0,0,0,147,13.0,2,4,83,0,8,1.0,0
0,2,1,51.0,0,0,622,12.52,2,4,43,0,8,1.0,0
1,1,0,22.0,1,0,36,33.3,2,3,473,1,2,0.0,0
0,3,1,55.5,0,0,516,8.05,2,2,393,0,8,1.0,0
0,3,1,40.5,0,2,538,14.5,2,2,665,2,8,0.0,0
0,3,1,29.0,0,0,573,7.31,2,2,453,0,8,1.0,0
0,1,1,51.0,0,1,595,61.38,0,2,647,1,8,0.0,0
1,3,0,16.0,0,0,418,7.73,1,1,213,0,8,1.0,3
0,3,1,30.0,0,0,654,8.05,2,2,129,0,8,1.0,0
0,3,1,29.0,0,0,258,8.66,2,2,570,0,8,1.0,0
0,3,1,29.0,8,2,568,9.94,2,0,532,10,8,0.0,0
0,3,1,44.0,0,1,470,16.1,2,2,133,1,8,0.0,0
1,2,0,40.0,0,0,559,15.75,2,3,633,0,8,1.0,0
0,3,1,26.0,0,0,323,7.78,2,2,53,0,8,1.0,0
0,3,1,17.0,0,0,265,8.66,2,2,89,0,8,1.0,3
0,3,1,1.0,4,1,249,6.61,2,0,464,5,8,0.0,1
1,3,1,9.0,0,2,423,6.84,2,0,218,2,8,0.0,1
1,1,0,29.0,0,1,28,27.5,2,3,108,1,4,0.0,0
0,3,0,45.0,1,4,337,4.65,2,3,563,5,8,0.0,0
0,1,1,29.0,0,0,576,25.92,2,2,44,0,8,1.0,0
0,3,1,28.0,0,0,80,8.07,2,2,351,0,8,1.0,0
0,1,1,61.0,0,0,5,33.5,2,2,620,0,1,1.0,2
0,3,1,4.0,4,1,480,5.82,1,0,505,5,8,0.0,1
1,3,0,1.0,1,1,344,3.71,2,1,292,2,8,0.0,1
0,3,1,21.0,0,0,659,7.92,2,2,560,0,8,1.0,0
0,1,1,56.0,0,0,90,30.7,0,2,571,0,0,1.0,0
0,3,1,18.0,1,1,412,7.85,2,2,316,2,8,0.0,0
0,3,1,29.0,3,1,488,6.37,2,0,332,4,8,0.0,0
0,1,0,50.0,0,0,593,28.71,0,1,278,0,2,1.0,0
0,2,1,30.0,0,0,169,13.0,2,2,231,0,8,1.0,0
0,3,1,36.0,0,0,574,0.0,2,2,339,0,8,1.0,0
0,3,0,29.0,8,2,568,9.94,2,1,532,10,8,0.0,0
0,2,1,29.0,0,0,629,15.05,0,2,479,0,8,1.0,0
0,3,1,9.0,4,2,329,7.85,2,0,25,6,8,0.0,1
1,2,1,1.0,2,1,114,19.5,2,0,49,3,5,0.0,1
1,3,0,4.0,0,2,271,22.02,2,1,313,2,8,0.0,1
0,1,1,29.0,0,0,34,50.0,2,2,519,0,0,1.0,0
1,3,0,29.0,1,0,459,7.75,1,3,444,1,8,0.0,0
1,1,1,45.0,0,0,11,26.55,2,2,517,0,8,1.0,0
0,3,1,40.0,1,1,435,7.75,1,2,68,2,8,0.0,0
0,3,1,36.0,0,0,386,7.9,2,2,614,0,8,1.0,0
1,2,0,32.0,0,0,122,13.0,2,3,491,0,8,1.0,0
0,2,1,19.0,0,0,227,13.0,2,2,95,0,8,1.0,0
1,3,0,19.0,1,0,406,7.85,2,1,14,1,8,0.0,0
1,2,1,3.0,1,1,113,8.67,2,0,428,2,5,0.0,1
1,1,0,44.0,0,0,604,27.72,0,3,76,0,1,1.0,0
1,1,0,58.0,0,0,586,73.26,0,1,359,0,1,1.0,0
0,3,1,29.0,0,0,452,7.75,1,2,394,0,8,1.0,0
0,3,1,42.0,0,1,494,8.4,2,2,453,1,8,0.0,0
1,3,0,29.0,0,0,461,7.75,1,1,361,0,8,1.0,0
0,2,0,24.0,0,0,160,13.0,2,1,658,0,8,1.0,0
0,3,1,28.0,0,0,306,9.5,2,2,622,0,8,1.0,0
0,3,1,29.0,8,2,568,9.94,2,2,532,10,8,0.0,0
0,3,1,34.0,0,0,242,6.5,2,2,290,0,8,1.0,0
0,3,1,45.5,0,0,177,7.22,0,2,655,0,8,1.0,0
1,3,1,18.0,0,0,530,8.05,2,2,117,0,8,1.0,0
0,3,0,2.0,0,1,316,5.23,2,1,588,1,6,0.0,1
0,3,1,32.0,1,0,247,7.92,2,2,31,1,8,0.0,0
1,3,1,26.0,0,0,216,9.39,0,2,7,0,8,1.0,0
1,3,0,16.0,0,0,445,7.75,1,1,98,0,8,1.0,3
1,1,1,40.0,0,0,17,31.0,0,2,64,0,0,1.0,0
0,3,1,24.0,0,0,642,7.05,2,2,10,0,8,1.0,0
1,2,0,35.0,0,0,570,21.0,2,1,90,0,8,1.0,0
0,3,1,22.0,0,0,526,7.25,2,2,478,0,8,1.0,0
0,2,1,30.0,0,0,163,13.0,2,2,214,0,8,1.0,0
0,3,1,29.0,1,0,443,7.75,1,2,309,1,8,0.0,0
1,1,0,31.0,1,0,416,37.76,0,1,430,1,3,0.0,0
1,3,0,27.0,0,0,670,7.92,2,1,267,0,8,1.0,0
0,2,1,42.0,1,0,142,13.5,2,2,280,1,8,0.0,0
1,1,0,32.0,0,0,63,76.29,0,1,46,0,3,1.0,0
0,2,1,30.0,0,0,679,10.5,2,2,241,0,8,1.0,0
1,3,1,16.0,0,0,653,8.05,2,2,589,0,8,1.0,3
0,2,1,27.0,0,0,105,13.0,2,2,71,0,8,1.0,0
0,3,1,51.0,0,0,102,8.05,2,2,222,0,8,1.0,0
0,3,1,29.0,0,0,375,7.9,2,2,429,0,8,1.0,0
1,1,1,38.0,1,0,93,45.0,2,2,271,1,2,0.0,0
0,3,1,22.0,0,0,615,9.35,2,2,54,0,8,1.0,0
1,2,1,19.0,0,0,672,10.5,2,2,392,0,8,1.0,0
0,3,1,20.5,0,0,525,7.25,2,2,356,0,8,1.0,0
0,2,1,18.0,0,0,125,13.0,2,2,179,0,8,1.0,0
0,3,0,29.0,3,1,488,6.37,2,1,332,4,8,0.0,0
1,1,0,35.0,1,0,457,41.74,2,3,241,1,2,0.0,0
0,3,1,29.0,0,0,322,7.78,2,2,328,0,8,1.0,0
0,2,1,59.0,0,0,128,13.5,2,2,562,0,8,1.0,0
1,3,0,5.0,4,2,329,7.85,2,1,25,6,8,0.0,1
0,2,1,24.0,0,0,554,10.5,2,2,344,0,8,1.0,0
0,3,0,29.0,0,0,677,7.55,2,1,237,0,8,1.0,0
0,2,1,44.0,1,0,198,26.0,2,2,263,1,8,0.0,0
1,2,0,8.0,0,2,556,8.75,2,1,122,2,8,0.0,1
0,2,1,19.0,0,0,231,10.5,2,2,477,0,8,1.0,0
0,2,1,33.0,0,0,636,12.28,2,2,273,0,8,1.0,0
0,3,0,29.0,1,0,193,7.23,0,1,659,1,8,0.0,0
1,3,0,29.0,1,0,444,7.75,1,1,420,1,8,0.0,0
0,2,1,29.0,0,0,674,10.5,2,2,119,0,8,1.0,0
0,3,1,22.0,0,0,658,7.12,2,2,364,0,8,1.0,0
0,3,1,30.0,0,0,213,7.22,0,2,27,0,8,1.0,0
0,1,1,44.0,2,0,92,45.0,1,4,398,2,2,0.0,0
0,3,0,25.0,0,0,325,7.78,2,1,346,0,8,1.0,0
1,2,0,24.0,0,2,166,7.25,2,3,232,2,8,0.0,0
1,1,1,37.0,1,1,54,26.28,2,2,50,2,3,0.0,0
0,2,1,54.0,1,0,144,13.0,2,4,100,1,8,0.0,0
0,3,1,29.0,0,0,422,7.25,2,2,499,0,8,1.0,0
0,3,0,29.0,1,1,316,5.23,2,3,588,2,6,0.0,0
0,1,1,62.0,0,0,31,26.55,2,2,581,0,2,1.0,2
0,3,1,30.0,1,0,536,8.05,2,2,352,1,8,0.0,0
0,3,0,41.0,0,2,458,10.11,2,3,520,2,8,0.0,0
1,3,0,29.0,0,2,185,15.25,0,3,610,2,8,0.0,0
1,1,0,29.0,0,0,589,79.2,0,3,600,0,8,1.0,0
1,1,0,30.0,0,0,0,28.83,2,1,107,0,1,1.0,0
1,1,0,35.0,0,0,608,170.78,0,1,630,0,8,1.0,0
1,2,0,50.0,0,1,115,13.0,2,3,467,1,8,0.0,0
0,3,1,29.0,0,0,482,7.75,1,2,571,0,8,1.0,0
1,3,1,3.0,4,2,329,7.85,2,0,25,6,8,0.0,1
0,1,1,52.0,1,1,1,26.55,2,2,595,2,4,0.0,0
0,1,1,40.0,0,0,16,0.0,2,2,242,0,1,1.0,0
0,3,0,29.0,0,0,478,7.75,1,1,254,0,8,1.0,0
0,2,1,36.0,0,0,546,10.5,2,2,500,0,8,1.0,0
0,3,1,16.0,4,1,249,6.61,2,2,464,5,8,0.0,3
1,3,1,25.0,1,0,334,7.78,2,2,481,1,8,0.0,0
1,1,0,58.0,0,1,588,51.15,2,3,221,1,2,0.0,0
1,1,0,35.0,0,0,613,45.21,2,1,61,0,2,1.0,0
0,1,1,29.0,0,0,47,15.5,2,2,86,0,8,1.0,0
1,3,1,25.0,0,0,574,0.0,2,2,608,0,8,1.0,0
1,2,0,41.0,0,1,162,9.75,2,3,391,1,8,0.0,0
0,1,1,37.0,0,1,594,29.7,0,2,427,1,2,0.0,0
1,3,0,29.0,0,0,465,7.75,1,1,248,0,8,1.0,0
1,1,0,63.0,1,0,71,25.99,2,1,19,1,3,0.0,2
0,3,0,45.0,0,0,326,7.75,2,1,347,0,8,1.0,0
0,2,1,29.0,0,0,135,0.0,2,2,465,0,8,1.0,0
0,3,1,7.0,4,1,480,5.82,1,0,505,5,8,0.0,1
1,3,0,35.0,1,1,551,10.12,2,3,1,2,8,0.0,0
0,3,1,65.0,0,0,290,7.75,1,2,166,0,8,1.0,2
0,3,1,28.0,0,0,340,7.85,2,2,454,0,8,1.0,0
0,3,1,16.0,0,0,310,9.5,2,2,663,0,8,1.0,3
1,3,1,19.0,0,0,533,8.05,2,2,160,0,8,1.0,0
0,1,1,29.0,0,0,24,26.0,2,2,571,0,0,1.0,0
0,3,1,33.0,0,0,378,8.66,0,2,579,0,8,1.0,0
1,3,1,30.0,0,0,308,9.5,2,2,662,0,8,1.0,0
0,3,1,22.0,0,0,353,7.9,2,2,422,0,8,1.0,0
1,2,1,42.0,0,0,134,13.0,2,2,270,0,8,1.0,0
1,3,0,22.0,0,0,464,7.75,1,1,125,0,8,1.0,0
1,1,0,26.0,0,0,91,39.42,2,1,40,0,8,1.0,0
1,1,0,19.0,1,0,64,45.54,0,3,60,1,1,0.0,0
0,2,1,36.0,0,0,635,12.88,0,2,342,0,3,1.0,0
0,3,0,24.0,0,0,376,8.85,2,1,228,0,8,1.0,0
0,3,1,24.0,0,0,374,7.9,2,2,399,0,8,1.0,0
0,1,1,29.0,0,0,606,27.72,0,2,343,0,8,1.0,0
0,3,1,23.5,0,0,212,7.23,0,2,234,0,8,1.0,0
0,1,0,2.0,1,2,37,37.89,2,1,12,3,2,0.0,1
1,1,1,29.0,0,0,98,30.5,2,2,530,0,2,1.0,0
1,1,0,50.0,0,1,585,123.76,0,3,45,1,1,0.0,0
1,3,0,29.0,0,0,513,7.75,1,1,306,0,8,1.0,0
1,3,1,29.0,2,0,441,11.62,1,2,380,2,8,0.0,0
0,3,1,19.0,0,0,574,0.0,2,2,292,0,8,1.0,0
1,2,0,29.0,0,0,109,12.35,1,1,304,0,4,1.0,0
0,3,1,29.0,0,0,527,8.05,2,2,647,0,8,1.0,0
1,1,1,0.92,1,2,37,37.89,2,0,12,3,2,0.0,1
1,1,0,29.0,0,0,83,27.72,0,1,184,0,8,1.0,0
1,1,0,17.0,1,0,611,54.45,0,3,476,1,2,0.0,3
0,2,1,30.0,1,0,575,12.0,0,2,2,1,8,0.0,0
1,1,0,30.0,0,0,584,28.46,0,1,191,0,4,1.0,0
1,1,0,24.0,0,0,59,41.58,0,1,247,0,2,1.0,0
1,1,0,18.0,2,2,602,131.19,0,1,528,4,1,0.0,0
0,2,0,26.0,1,1,167,26.0,2,3,321,2,8,0.0,0
0,3,1,28.0,0,0,382,7.9,2,2,253,0,8,1.0,0
0,2,1,43.0,1,1,571,8.75,2,2,243,2,8,0.0,0
1,3,0,26.0,0,0,343,7.85,2,1,435,0,8,1.0,0
1,2,0,24.0,1,0,150,13.0,2,3,299,1,8,0.0,0
0,2,1,54.0,0,0,232,14.0,2,4,410,0,8,1.0,0
1,1,0,31.0,0,2,453,82.43,2,1,641,2,2,0.0,0
1,1,0,40.0,1,1,81,67.25,0,3,575,2,4,0.0,0
0,3,1,22.0,0,0,524,7.25,2,2,152,0,8,1.0,0
0,3,1,27.0,0,0,365,7.9,2,2,144,0,8,1.0,0
1,2,0,30.0,0,0,124,12.35,1,1,565,0,8,1.0,0
1,2,0,22.0,1,1,158,14.5,2,3,88,2,8,0.0,0
0,3,1,29.0,8,2,568,9.94,2,2,532,10,8,0.0,0
1,1,0,36.0,0,0,613,45.21,0,1,654,0,2,1.0,0
0,3,1,61.0,0,0,299,6.24,2,2,443,0,8,1.0,2
1,2,0,36.0,0,0,229,13.0,2,3,36,0,3,1.0,0
1,3,0,31.0,1,1,423,6.84,2,3,218,2,8,0.0,0
1,1,0,16.0,0,1,7,28.99,0,1,258,1,1,0.0,3
1,3,0,29.0,2,0,441,11.62,1,1,380,2,8,0.0,0
0,1,1,45.5,0,0,20,28.5,2,2,468,0,2,1.0,0
0,1,1,38.0,0,1,588,51.15,2,2,221,1,2,0.0,0
0,3,1,16.0,2,0,302,9.0,2,2,625,2,8,0.0,3
1,1,0,29.0,1,0,605,66.82,2,3,192,1,8,0.0,0
0,3,1,29.0,0,0,370,7.9,2,2,151,0,8,1.0,0
0,1,1,29.0,1,0,36,33.3,2,2,473,1,2,0.0,0
1,1,0,41.0,0,0,81,67.25,0,1,79,0,4,1.0,0
1,3,1,45.0,0,0,510,8.05,2,2,138,0,8,1.0,0
0,1,1,45.0,0,0,39,35.5,2,2,63,0,7,1.0,0
1,2,1,2.0,1,1,113,8.67,2,0,428,2,5,0.0,1
1,1,0,24.0,3,2,95,65.75,2,1,189,5,2,0.0,0
0,2,1,28.0,0,0,159,13.0,2,2,120,0,8,1.0,0
0,2,1,25.0,0,0,149,13.0,2,2,542,0,8,1.0,0
0,2,1,36.0,0,0,112,13.0,2,2,190,0,8,1.0,0
1,2,0,24.0,0,0,157,13.0,2,1,76,0,5,1.0,0
1,2,0,40.0,0,0,257,13.0,2,1,571,0,8,1.0,0
1,3,0,29.0,1,0,483,16.1,2,3,149,1,8,0.0,0
1,3,1,3.0,1,1,562,7.95,2,0,130,2,8,0.0,1
0,3,1,42.0,0,0,262,8.66,2,2,155,0,8,1.0,0
0,3,1,23.0,0,0,503,9.22,2,2,451,0,8,1.0,0
0,1,1,29.0,0,0,30,35.0,2,2,648,0,2,1.0,0
0,3,1,15.0,1,1,214,7.23,0,2,173,2,8,0.0,3
0,3,1,25.0,1,0,377,8.9,2,2,22,1,8,0.0,0
0,3,1,29.0,0,0,182,7.22,0,2,656,0,8,1.0,0
0,3,1,28.0,0,0,314,9.5,2,2,623,0,8,1.0,0
1,1,0,22.0,0,1,28,27.5,2,1,70,1,4,0.0,0
0,2,0,38.0,0,0,131,13.0,2,1,197,0,8,1.0,0
1,3,0,29.0,0,0,279,7.88,1,1,384,0,8,1.0,0
1,3,0,29.0,0,0,285,7.88,1,1,403,0,8,1.0,0
0,3,1,40.0,1,4,337,4.65,2,2,563,5,8,0.0,0
0,2,1,29.0,1,0,633,27.72,0,2,664,1,8,0.0,0
0,3,0,45.0,0,1,211,7.23,0,3,39,1,8,0.0,0
0,3,1,35.0,0,0,641,7.05,2,2,24,0,8,1.0,0
0,3,1,29.0,1,0,459,7.75,1,2,444,1,8,0.0,0
0,3,1,30.0,0,0,544,7.25,2,2,3,0,8,1.0,0
1,1,0,60.0,1,0,4,75.25,0,3,631,1,3,0.0,2
1,3,0,29.0,0,0,175,7.23,0,3,415,0,8,1.0,0
1,3,0,29.0,0,0,78,7.75,1,1,287,0,8,1.0,0
1,1,0,24.0,0,0,581,34.65,0,3,28,0,1,1.0,0
1,1,1,25.0,1,0,58,55.44,0,2,236,1,4,0.0,0
0,3,1,18.0,1,0,244,6.5,2,2,644,1,8,0.0,0
0,3,1,19.0,0,0,273,8.05,2,2,48,0,8,1.0,0
0,1,1,22.0,0,0,613,45.21,0,2,509,0,8,1.0,0
0,3,0,3.0,3,1,395,5.27,2,1,463,4,8,0.0,1
1,1,0,29.0,1,0,600,41.09,0,3,395,1,8,0.0,0
1,3,0,22.0,0,0,545,7.25,2,1,325,0,8,1.0,0
0,1,1,27.0,0,2,27,211.5,0,2,643,2,2,0.0,0
0,3,1,20.0,0,0,183,4.01,0,2,56,0,8,1.0,0
0,3,1,19.0,0,0,324,7.78,2,2,227,0,8,1.0,0
1,1,0,42.0,0,0,610,56.88,0,1,57,0,8,1.0,0
1,3,0,1.0,0,2,187,7.87,0,1,424,2,8,0.0,1
0,3,1,32.0,0,0,665,7.92,2,2,602,0,8,1.0,0
1,1,0,35.0,1,0,43,26.0,2,3,265,1,8,0.0,0
0,3,1,29.0,0,0,371,7.9,2,2,492,0,8,1.0,0
